hotelname,hotelcategory,rate,ratedescription,commentcount,badgerate,stayduration,hotellocation,country,adults,room,checkoutdate,bestbaseprice,bestdiscountprice,offersortid,suppliername,baseprice,discountprice,currency,iscancellable,additionalfeature,hotelurl,senddate,city,checkindate,roomtype
Alanya Damlataş Apart,,"8,4",Sehr gut,141,,6,Alanya ,Turkey,2,1,2/23/2020,84,84,2,Hotels.Com,"117,00","117,00",€,FALSE,,https://hotel.check24.de/search/Alanya%20Damlata%C5%9F%20Apart-8135898/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D11%26per_page%3D50&refLocationId=400999&oS=28&oP=84,15:45.5,Antalya,2/17/2020,Apartment
Ale Boutique Apartments,,"7,6",Gut,152,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,153,131,6,Hotels.Com,"192,00","153,60",€,FALSE,,https://hotel.check24.de/search/Ale%20Boutique%20Apartments-7884929/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=29&oP=131.1,08:15.7,Antalya,2/17/2020,Apartment
Arda Apart Hotel,,"7,8",Gut,181,,6,Kemer ,Turkey,2,1,2/23/2020,90,77,1,Hotelopia,"90,00","77,16",€,FALSE,,https://hotel.check24.de/search/Arda%20Apart%20Hotel-9624718/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=502&oP=77.16,38:47.4,Antalya,2/17/2020,Apartment
BAHÇELİ FAMİLY OTEL,,"7,6",Gut,,,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,108,108,1,Booking.com,"108,00","108,00",€,FALSE,,https://hotel.check24.de/search/BAH%C3%87EL%C4%B0%20FAM%C4%B0LY%20OTEL-11447493/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=108,50:17.5,Antalya,2/17/2020,Apartment
Baronessa Apart Hotel,,"7,4",Gut,247,,6,Alanya ,Turkey,2,1,2/23/2020,109,69,6,Expedia,"125,28","86,34",€,FALSE,,https://hotel.check24.de/search/Baronessa%20Apart%20Hotel-4880171/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=69.06,48:30.5,Antalya,2/17/2020,Apartment
Baronessa Apart Hotel,,"7,4",Gut,247,,6,Alanya ,Turkey,2,1,2/23/2020,109,69,9,Booking.com,"125,28","117,00",€,FALSE,,https://hotel.check24.de/search/Baronessa%20Apart%20Hotel-4880171/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=69.06,48:30.5,Antalya,2/17/2020,Apartment
COZMINA APART HOTEL,,--,Unterkunft noch,,,6,Alanya ,Turkey,2,1,2/23/2020,360,360,1,Booking.com,"360,00","360,00",€,FALSE,,https://hotel.check24.de/search/COZMINA%20APART%20HOTEL-9873161/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D17%26per_page%3D50&refLocationId=400999&oS=28&oP=360,21:43.4,Antalya,2/17/2020,Apartment
Club Antiphellos,,"6,8",Befriedigend,126,,6,Kas,Turkey,2,1,2/23/2020,264,264,7,Booking.com,"288,00","288,00",€,FALSE,,https://hotel.check24.de/search/Club%20Antiphellos-5156766/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=29&oP=264,53:28.6,Antalya,2/17/2020,Apartment
Delight Deluxe Aparts,,"8,9",Sehr gut,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,223,192,6,Expedia,"244,14","244,14",€,FALSE,,https://hotel.check24.de/search/Delight%20Deluxe%20Aparts-9690851/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=28&oP=192.48,29:40.7,Antalya,2/17/2020,Apartment
Delight Deluxe Hotel & Spa,,"8,7",Sehr gut,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,172,143,9,Booking.com,"176,70","176,70",€,FALSE,,https://hotel.check24.de/search/Delight%20Deluxe%20Hotel%20%26%20Spa-9895294/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=29&oP=143.16,47:19.0,Antalya,2/17/2020,Apartment
Elit Apart Otel,,"8,0",Sehr gut,,,6,Konaklı ,Turkey,2,1,2/23/2020,113,113,8,Booking.com,"198,00","198,00",€,FALSE,,https://hotel.check24.de/search/Elit%20Apart%20Otel-8691780/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=178&oP=113.4,44:18.9,Antalya,2/17/2020,Apartment
Elitpark Residance,,--,Unterkunft noch,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,3.15,3.15,4,Expedia,"3.150,00","3.150,00",€,TRUE,,https://hotel.check24.de/search/Elitpark%20Residance-9749286/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D15%26per_page%3D50&refLocationId=400999&oS=190&oP=3150,03:32.8,Antalya,2/17/2020,Apartment
Fame Residence Lara & Spa,5,"8,9",Sehr gut,3.578,,6,Lara ,Turkey,2,1,2/23/2020,480,352,7,Booking.com,"1.080,00","1.080,00",€,FALSE,,https://hotel.check24.de/search/Fame%20Residence%20Lara%20%26%20Spa-986298/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=257&oP=352,14:44.7,Antalya,2/17/2020,Apartment
Frankfurt Hotel,,"8,5",Sehr gut,114,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,300,300,6,Booking.com,"480,00","480,00",€,TRUE,,https://hotel.check24.de/search/Frankfurt%20Hotel-7221990/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=300,50:53.5,Antalya,2/17/2020,Apartment
Hatice Sultan Butik Apart,,"8,7",Sehr gut,,,6,Kalkan ,Turkey,2,1,2/23/2020,1.399,1.399,1,Booking.com,"1.398,60","1.398,60",€,FALSE,Privater Pool,https://hotel.check24.de/search/Hatice%20Sultan%20Butik%20Apart-10032939/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=28&oP=1398.6,26:47.7,Antalya,2/17/2020,Apartment
Hotel Anadolu,,"8,9",Sehr gut,178,,6,Finike ,Turkey,2,1,2/23/2020,168,162,5,Expedia,"313,20","313,20",€,FALSE,,https://hotel.check24.de/search/Hotel%20Anadolu-4635666/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=178&oP=162,34:05.7,Antalya,2/17/2020,Apartment
Irem Garden Hotel & Apartments,,"6,8",Befriedigend,216,,6,Side ,Turkey,2,1,2/23/2020,188,129,3,Expedia,"192,00","192,00",€,TRUE,,https://hotel.check24.de/search/Irem%20Garden%20Hotel%20%26%20Apartments-8199519/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=29&oP=128.52,38:11.9,Antalya,2/17/2020,Apartment
Lara Barut Collection-Ultra All Inclusive,5,"9,3",Fabelhaft,3.681,Top 1% der Stadt,6,Lara ,Turkey,2,1,2/23/2020,886,638,24,AurumTours,"1.860,00","1.860,00",€,FALSE,,https://hotel.check24.de/search/Lara%20Barut%20Collection-Ultra%20All%20Inclusive-6957236/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=638,41:20.8,Antalya,2/17/2020,Apartment
Lemas Suite Hotel by Kulabey,3,"8,1",Sehr gut,278,,6,Side ,Turkey,2,1,2/23/2020,302,300,1,Expedia,"300,00","300,00",€,TRUE,,https://hotel.check24.de/search/Lemas%20Suite%20Hotel%20by%20Kulabey-8476820/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=190&oP=300,26:42.5,Antalya,2/17/2020,Apartment
Loft 1502,,"8,7",Sehr gut,199,,6,"Eski Lara, Antalya ",Turkey,2,1,2/23/2020,210,200,2,Booking.com,"210,06","210,00",€,FALSE,,https://hotel.check24.de/search/Loft%201502-9695398/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=199.5,49:18.0,Antalya,2/17/2020,Apartment
Luna Blanca Resort & SPA - All Inclusive,5,"8,9",Sehr gut,2.166,Top 1% der Stadt,6,"Kumköy, Side ",Turkey,2,1,2/23/2020,276,276,8,Booking.com,"855,00","855,00",€,FALSE,,https://hotel.check24.de/search/Luna%20Blanca%20Resort%20%26%20SPA%20-%20All%20Inclusive-7851977/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=252&oP=276,46:30.4,Antalya,2/17/2020,Apartment
Luxor Apart Hotel,,"5,5",Bewertung,90,,6,Alanya ,Turkey,2,1,2/23/2020,824,824,2,Expedia,"915,12","915,12",€,TRUE,,https://hotel.check24.de/search/Luxor%20Apart%20Hotel-10053452/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D15%26per_page%3D50&refLocationId=400999&oS=176&oP=823.68,04:43.5,Antalya,2/17/2020,Apartment
MENE SUITES,,"9,2",Fabelhaft,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,180,180,1,Booking.com,"180,00","180,00",€,FALSE,,https://hotel.check24.de/search/MENE%20SUITES-11366054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=28&oP=180,12:31.3,Antalya,2/17/2020,Apartment
Mare Nostrum Apart,,"9,4",Fabelhaft,90,,6,Kaş ,Turkey,2,1,2/23/2020,157,157,5,Hotels.Com,"190,05","190,00",€,FALSE,,https://hotel.check24.de/search/Mare%20Nostrum%20Apart-8672224/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=156.75,47:54.6,Antalya,2/17/2020,Apartment
